TravYear,SegMode,DayType,FromStn_Short,ToStn_Short,FromStn_Long,ToStn_Long,SegDir,SegID,AvgDailyVol
2023,M,Sun/Hol,ED,RO,Edmonds Stn,Royal Oak Stn,Inbound,8,29536.34782
2023,M,Sun/Hol,ED,RO,Edmonds Stn,Royal Oak Stn,Outbound,8,28454.0641
2023,M,Sun/Hol,GM,RU,Gilmore Stn,Rupert Stn,Inbound,36,8791.793282
2023,M,Sun/Hol,GM,RU,Gilmore Stn,Rupert Stn,Outbound,36,8536.978521
2023,M,Sun/Hol,GV,BU,Granville Stn,Burrard Stn,Inbound,26,16918.24898
2023,M,Sun/Hol,GV,BU,Granville Stn,Burrard Stn,Outbound,26,18420.82569
2023,M,Sun/Hol,GW,SR,Gateway Stn,Scott Road Stn,Inbound,19,17760.51623
2023,M,Sun/Hol,GW,SR,Gateway Stn,Scott Road Stn,Outbound,19,17051.02307
2023,M,Sun/Hol,HO,BR,Holdom Stn,Brentwood Stn,Inbound,40,7747.330045
2023,M,Sun/Hol,HO,BR,Holdom Stn,Brentwood Stn,Outbound,40,7461.696537
2023,M,Sun/Hol,IC,MC,Inlet Centre Stn,Moody Center Stn,Inbound,72,6143.190335
2023,M,Sun/Hol,IC,MC,Inlet Centre Stn,Moody Center Stn,Outbound,72,6181.188795
2023,M,Sun/Hol,JY,TN,Joyce Stn,29th Av Stn,Inbound,67,32079.17365
2023,M,Sun/Hol,JY,TN,Joyce Stn,29th Av Stn,Outbound,67,32281.24199
2023,M,Sun/Hol,KG,SC,King George Stn,Surrey Central Stn,Inbound,25,7251.213297
2023,M,Sun/Hol,KG,SC,King George Stn,Surrey Central Stn,Outbound,25,3401.646952
2023,M,Sun/Hol,LC,SP,Lake City Way Stn,Sperling Stn,Inbound,44,6866.819671
2023,M,Sun/Hol,LC,SP,Lake City Way Stn,Sperling Stn,Outbound,44,6822.11511
2023,M,Sun/Hol,LH,BD,Lougheed Stn,Braid Stn,Inbound,53,7176.835328
2023,M,Sun/Hol,LH,BD,Lougheed Stn,Braid Stn,Outbound,53,7286.339192
